bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Dance & Theater","/explore/dance-theater","/projects/wrestling-with-the-wip-goes-to-capital-fringe","2015-07-14T23:59:59-07:00","USD","1085","0.217","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ls04m9bmvxz5gxlwuj7w.jpg","false","false","null","2015-05-30T05:36:00-07:00","null","null","null","null","null","1234068","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are remounting Wrestling with the WIP for the Capital Fringe Festival!","[""other""]","Wrestling with the WIP goes to Capital Fringe!"
"null","Film","/explore/film","/projects/dammed-to-extinction","2019-05-13T23:59:59-07:00","USD","6609","0.55075","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/eg0aa7o1v0ykwomflfxg.jpg","false","false","null","2019-04-22T00:00:00-07:00","null","null","null","null","null","2493614","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Documenting the plunge toward extinction for Southern Resident orcas and Chinook salmon.","[""documentary"",""indie""]","Dammed To Extinction"
"null","Photography","/explore/photography","/projects/earthforms-intimate-portraits-of-our-planet","2018-07-25T23:59:59-07:00","USD","1817","0.09085","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rgn7esmpkkonag3s8az8.jpg","false","false","null","2018-06-25T17:36:25-07:00","null","null","null","null","null","2386875","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Photo Art Book on Earth's ""natural"" art.","[""beauty"",""books"",""hiking"",""adventure""]","EARTHFORMS: Intimate Portraits of Our Planet"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/wagii-smartglasses-to-capture-your-every-move","2020-05-30T23:59:59-07:00","USD","121523","11.4291","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/msmcf8aayegupklaad7d.jpg","true","false","null","2020-04-15T00:00:00-07:00","null","null","null","null","production","2564759","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Record and share your story instantly. 200+ videos with ONE charge.","[""design"",""wireless"",""sunglasses""]","WAGII: Smartglasses To Capture Your Every Move"
"null","Wellness","/explore/wellness","/projects/medical-research-that-demands-a-verdict","2018-01-26T23:59:59-08:00","USD","150","0.002","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ppjvmq28iglg7z5hwkpc.jpg","false","false","null","2017-12-12T00:13:27-08:00","null","null","null","null","null","2292030","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","New Cancer Protocol, a Community Engaged Research Project...","[""other""]","Medical-Research That Demands a Verdict!!!"
"null","Tabletop Games","/explore/tabletop-games","/projects/harper-s-tale-an-adventure-path-for-dnd-5e","2019-10-05T23:59:59-07:00","USD","22720","1.893333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/krz57vhew0rgj3i9ix6n.jpg","false","false","null","2019-09-03T00:00:00-07:00","null","null","null","null","null","2530542","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A forest adventure path of dark secrets, investigation & redemption written by an all-star team.","[""adventure"",""books"",""fantasy"",""kids"",""toys""]","Harper's Tale: An Adventure Path for DnD 5e"
"null","Music","/explore/music","/projects/acoutastic-bombastic-help-us-finish-our-debut-lp","2020-01-19T23:59:59-08:00","GBP","3185","0.91","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vcmhhfmcsvbjeysenpof.jpg","false","false","null","2019-11-20T00:00:00-08:00","null","null","null","null","null","2537423","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","'NO ORDINARY BAND-NO ORDINARY LEADER'
Please join our #AcouBomb multi-instrumentalists making music","[""album"",""music video"",""band"",""jazz"",""recording""]","ACOUTASTiC BOMBASTiC Help Us Finish Our Debut LP!"
"null","Writing & Publishing","/explore/writing-publishing","/projects/doors-of-love-and-light-oracle-card-deck","2020-05-31T23:59:59-07:00","USD","1505","0.1505","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/p0n2aajhoidtlc4qbmkj.jpg","false","false","null","2020-04-01T00:00:00-07:00","null","null","null","null","null","2581095","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Energize your space using Love, Light & Sacred Geometry.
By Rita Morgin, Artist, Author, LAND Healer","[""books"",""love"",""other"",""safety"",""tarot""]","Doors of Love and Light Oracle Card Deck"
"null","Art","/explore/art","/projects/art-show-funding-needed","2017-04-09T23:59:59-07:00","USD","60","0.12","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/r4htztrc0mnjhwpakdxl.jpg","false","false","null","2017-03-20T18:37:04-07:00","null","null","null","null","null","2070606","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","I am an artist in need of a little help. I am a painter looking to raise funds for an art show.","[""other""]","Art Show funding needed. "
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/almost-balanced-foodie","2017-12-15T23:59:59-08:00","USD","1230","0.351428571429","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wcxbm7gwxwiq8edexpgk.jpg","false","false","null","2017-11-29T06:53:27-08:00","null","null","null","null","null","2282723","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A comedic web-series about a food blogger.  #friesbeforeguys","[""comedy""]","Almost Balanced Foodie"
