bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Local Businesses","/explore/local-businesses","/projects/free-food-for-all-community-project","2015-06-17T23:59:59-07:00","USD","844","0.0844","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vkjz0ojhsltbdxlkbwhj.jpg","false","false","null","2015-06-03T19:12:02-07:00","null","null","null","null","null","1292110","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Free Food for All is a community project to provide free meals for all who need it.","[""other""]","Free Food For All - Community Project"
"null","Video Games","/explore/video-games","/projects/spawncandy-development-project","2015-06-14T23:59:59-07:00","USD","1306","0.042129032258","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kdreu31sxmqbnqpk3nmd.jpg","false","false","null","2015-04-15T04:21:14-07:00","null","null","null","null","null","1032441","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The first fully customizable gaming environment developed as a central hub for gamers' worldwide","[""other""]","SpawnCandy Development Project"
"null","Phones & Accessories","/explore/phones-accessories","/projects/xdapter-6-in-1-invisible-adapter","2020-01-02T23:59:59-08:00","EUR","53683","2.218915861829","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/l82svighkerrh3ewqvm9.jpg","true","false","null","2020-01-01T23:59:59-08:00","null","null","null","null","prototype","2570222","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","USB-C adapter for phones, nintendo switch, laptops and tablets to elevate your experience","[""smart phones"",""pc"",""laptops"",""computers"",""chargers""]","Xdapter: 6-in-1 invisible adapter"
"null","Human Rights","/explore/human-rights","/projects/planting-renewal-haiti","2012-09-07T23:59:59-07:00","USD","8542","1.06775","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/aifayaojab0eibecdkzh.jpg","false","false","null","2012-07-09T05:45:00-07:00","null","null","null","null","null","158371","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Through Haiti Bible Mission Renew Communities is planting a church in Kolimo, Haiti. We need $8,000 to finish the construction. Help make that happen!","[""other""]","Planting Renewal :: Haiti"
"null","Web Series & TV Shows","/explore/web-series-tv-shows","/projects/hustle-street-a-musical","2017-09-12T23:59:59-07:00","AUD","30","0.003","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nl2ixrsj9e3pffprgxnz.jpg","false","false","null","2017-07-14T06:19:44-07:00","null","null","null","null","null","2152925","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","This street is the stage where the theatre meets rap","[""other""]","Hustle Street - A musical"
"null","Local Businesses","/explore/local-businesses","/projects/conviction-customs-helping-veterans-find-a-way","2016-08-03T23:59:59-07:00","USD","245","0.0049","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/w50hccdmbdlrykmsvffw.jpg","false","false","null","2016-07-04T07:13:35-07:00","null","null","null","null","null","1814955","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Making a difference to formerly incarcerated Veterans!","[""motorcycles""]","Conviction Customs - Helping Veterans find a way!"
"null","Music","/explore/music","/projects/the-sixth-extinction","2018-11-01T23:59:59-07:00","EUR","2637","0.4395","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bdjt1x7jb12oiigj70rl.jpg","false","false","null","2018-09-20T00:00:00-07:00","null","null","null","null","null","2419993","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The new album by Psychic Equalizer is about the environmental crisis the world is facing.","[""rock"",""jazz"",""album"",""pianos"",""music video""]","The Sixth Extinction"
"null","Dance & Theater","/explore/dance-theater","/projects/assistants-a-new-musical","2015-06-22T23:59:59-07:00","USD","600","0.24","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hbekmmwtp2ppqzipsfwu.jpg","false","false","null","2015-04-23T14:28:27-07:00","null","null","null","null","null","1225607","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","When it comes to Hollywood, even the assistants need some assistance of their own.","[""other""]","Assistants, A New Musical"
"null","Human Rights","/explore/human-rights","/projects/download-mayday-club-youth-choir-album","2017-07-01T23:59:59-07:00","CAD","636","0.0795","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qmre3ejm9sfavleguge8.jpg","false","false","null","2017-05-17T18:36:22-07:00","null","null","null","null","null","2121463","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","World's first autism advocacy youth choir album launch.","[""kids""]","Download: Mayday Club Youth Choir Album"
"null","Music","/explore/music","/projects/lucid-s-movement-battling-depression-with-music--2","2017-03-17T23:59:59-07:00","USD","1717","0.06868","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oflphk2ftloocuuby44v.jpg","false","false","null","2017-01-31T18:22:43-08:00","null","null","null","null","null","2000662","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Songs, Podcasts & Videos Dedicated to Inspiring People & Suicide Prevention... We Need Your Help!","[""music video""]","Lucid's Movement: Battling Depression With Music"
