bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Human Rights","/explore/human-rights","/projects/refugee-aid-app-an-app-to-help-refugees","2015-10-17T23:59:59-07:00","GBP","3060","0.306","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/jqfqkmobelvltlonlgmx.jpg","false","false","null","2015-09-26T09:32:32-07:00","null","null","null","null","null","1436216","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Refugees need a mobile app dedicated to helping them find homes, work, community and support.","[""other""]","Refugee Aid App - an app to help refugees"
"null","Local Businesses","/explore/local-businesses","/projects/let-s-bring-reliant-credit-repair-to-life","2015-11-03T23:59:59-08:00","USD","28","0.0008","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/usn2yy7b23yqunqzffcx.jpg","false","false","null","2015-10-04T23:00:15-07:00","null","null","null","null","null","1475007","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Welcome to the new and improved way to fix your credit score and report with the click of a button!","[""other""]","Let's Bring Reliant Credit Repair To Life!"
"null","Writing & Publishing","/explore/writing-publishing","/projects/the-power-of-the-black-vote","2020-09-09T23:59:59-07:00","USD","5146","1.0292","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fftmo6awjqvfhyuxezs2.jpg","false","false","null","2020-07-27T00:00:00-07:00","null","null","null","null","null","2617194","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Government Tactics to Block It","[""other""]","The Power of the Black Vote"
"null","Video Games","/explore/video-games","/projects/from-ashes-the-horror-survival-video-game","2016-04-10T23:59:59-07:00","GBP","10","0.02","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gc1szvrjngra5bev1ywg.jpg","false","false","null","2016-03-11T06:22:35-08:00","null","null","null","null","null","1675060","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Survival horror game with realistic bullet ballistics, destructible environment and learning AI","[""horror""]","From Ashes - The Horror Survival Video Game"
"null","Human Rights","/explore/human-rights","/projects/medical-help-to-the-refugees-in-mytilini","2015-11-16T23:59:59-08:00","USD","1125","2.25","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/owgcy6xijlkhgbpsn6e0.jpg","false","false","null","2015-11-09T01:27:16-08:00","null","null","null","null","null","1525718","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help the refugees arriving in Greece","[""other""]","Medical Help to the Refugees in Mytilini"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/the-new-energy-focus--2","2018-11-03T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gggwtmexeaicshm9s6iw.jpg","false","false","null","2018-09-04T00:00:00-07:00","null","null","null","null","concept","2412368","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Digital magazine and website to make renewable energy a bit more exciting. Actually a lot more!","[""cars"",""e-bikes"",""female founders"",""magazines""]","The New Energy Focus"
"null","Film","/explore/film","/projects/grey-feather-post-production-funding-campaign","2019-04-26T23:59:59-07:00","USD","3571","0.7142","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sei0q2juj9h8x0onqf9n.jpg","false","false","null","2019-04-06T00:00:00-07:00","null","null","null","null","null","2485929","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A bird that's been raised and grew up in a cage, will it fly when the door open?
A Cambodian short.","[""community"",""drama"",""love"",""short film"",""romance""]","GREY FEATHER - POST PRODUCTION FUNDING CAMPAIGN"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/turning-water-into-power","2019-10-09T23:59:59-07:00","USD","1425","0.0285","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ydfsr9xgpwodgi8i5akf.jpg","false","false","null","2019-08-30T00:00:00-07:00","null","null","null","null","concept","2477878","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Harnessing the power of the tides to create renewable energy for coastal homes.","[""water"",""batteries"",""community"",""design"",""solar""]","Turning Water Into Power"
"null","Podcasts, Blogs & Vlogs","/explore/podcasts-blogs-vlogs","/projects/des-moines-and-dragons-live","2019-07-03T23:59:59-07:00","USD","1800","2.25","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sirap5ve4iaa8jihp0hc.jpg","false","false","null","2019-05-04T00:00:00-07:00","null","null","null","null","null","2493759","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help ""Des Moines and Dragons"" produce and stream an epic season finale!","[""comedy"",""recording"",""fantasy""]","Des Moines and Dragons: LIVE"
"null","Energy & Green Tech","/explore/energy-green-tech","/projects/sky-hopper-cargo-drone-battery-community","2017-10-10T23:59:59-07:00","GBP","660","0.00264","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uw95sadng3pvhdnrv5zk.jpg","false","false","null","2017-08-11T03:05:20-07:00","null","null","null","null","null","2074209","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Inspired innovation to solve pressing global needs. Built by Scots engineers for the world.","[""drones"",""social innovations"",""community"",""batteries""]","Sky Hopper Cargo Drone"
"null","Health & Fitness","/explore/health-fitness","/projects/idyourstuff-shadow-3g-real-time-gps-locator","2016-08-25T23:59:59-07:00","USD","334","0.007422222222","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mrsisuw5klcgkckmvzm8.jpg","false","false","null","2016-07-26T19:09:39-07:00","null","null","null","null","null","1836637","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Smart mini size personal life saving GPS location and monitoring device","[""gps""]","IDyourStuff Shadow 3G - Real-Time GPS locator"
