bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Film","/explore/film","/projects/debutante-short-film","2019-12-23T23:59:59-08:00","EUR","13674","0.6837","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wgqai5tymwsatfhrfgvk.jpg","false","false","null","2019-10-24T00:00:00-07:00","null","null","null","null","null","2542672","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A story about losing your faith and finding out who you really are.","[""drama"",""short film"",""women"",""romance"",""family""]","Debutante - Short Film"
"null","Comics","/explore/comics","/projects/ronald-rump-1","2020-06-11T23:59:59-07:00","USD","3183","1.721428571429","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/a8qjjtag5hrmq7rdyepc.jpg","true","false","null","2020-05-12T00:00:00-07:00","null","null","null","null","null","2600788","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Funded in less than 48 hours! 32 pages of Old School fun is now shipping on newsprint.","[""indie"",""socks"",""comedy"",""other""]","Ronald Rump #1"
"null","Health & Fitness","/explore/health-fitness","/projects/enheight-s-exclusive-brain-supplement","2016-03-13T23:59:59-07:00","USD","205","0.005857142857","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xwwl4oryqhbzwjpnlym8.jpg","false","false","null","2016-01-13T11:59:11-08:00","null","null","null","null","null","1600620","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","EXCLUSIVE BRAIN SUPPLEMENT WITH 17 NATURAL INGREDIENTS REPLACING CAFFEINE!","[""other""]","EnHeight's exclusive Brain Supplement"
"null","Productivity","/explore/productivity","/projects/social-viral-attract-your-audience","2020-07-21T23:59:59-07:00","AUD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lgz0q8log5nqom1s7z75.jpg","false","false","null","2020-05-22T00:00:00-07:00","null","null","null","null","concept","2604795","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We Grow Your Fame in the Digital World.","[""social innovations"",""crypto"",""apps"",""iphone"",""laptops""]","Social Viral - Attract Your Audience"
"null","Comics","/explore/comics","/projects/blackberry-cheers","2019-12-24T23:59:59-08:00","GBP","284","0.1136","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xwcgfqjmmp6nlhfjsfqd.jpg","false","false","null","2019-11-24T00:00:00-08:00","null","null","null","null","null","2552122","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A screen printed exploration of Abstract Non-Narrative Graphic Novels.","[""books"",""design"",""indie""]","Blackberry Cheers"
"null","Music","/explore/music","/projects/new-ilia-ep-in-2016","2015-11-21T23:59:59-08:00","USD","5479","0.456583333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/twlbi9a2xuwdpc5pvxhl.jpg","false","false","null","2015-10-17T10:33:43-07:00","null","null","null","null","null","1493056","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help ILIA record their next EP!","[""other""]","New ILIA EP in 2016"
"null","Photography","/explore/photography","/projects/gender-projected--2","2015-06-19T23:59:59-07:00","USD","134","0.092413793103","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/twydzorgcqptww6abusj.jpg","false","false","null","2015-06-09T16:35:25-07:00","null","null","null","null","null","1301943","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Exploring gender through photography and dialogue.","[""other""]","Gender Projected"
"null","Video Games","/explore/video-games","/projects/counter-strike-inspired-airsoft-field","2015-05-17T23:59:59-07:00","USD","101","0.0202","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hmzvb6rspbbtee3v8w92.jpg","false","false","null","2015-03-18T12:59:20-07:00","null","null","null","null","null","1185721","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Ever wanted to play airsoft with friends in a Counter-Strike themed environment? This is your place.","[""other""]","Counter-Strike inspired Airsoft Field"
"null","Culture","/explore/culture","/projects/church-clarity-website-reboot","2019-12-01T23:59:59-08:00","USD","3022","0.06044","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/s2qkbqezmw2kbzpsuvhv.jpg","false","false","null","2019-10-17T00:00:00-07:00","null","null","null","null","null","2552476","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We grew too fast. Now we're raising funds to build a brand new website because our old one broke.","[""websites"",""lgbtq""]","Church Clarity Website Reboot"
"null","Film","/explore/film","/projects/feed-park-s-epiphany","2017-11-11T23:59:59-08:00","USD","300","0.6","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qd2i2sihfwdumepspxvq.jpg","false","false","null","2017-09-12T22:44:54-07:00","null","null","null","null","null","2215209","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help donate to feed our talent since they are donating their talents to our film. ;D","[""other""]","Feed Park's Epiphany"
