bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/we-stand-we-go-taste-of-india","2015-12-04T23:59:59-08:00","CAD","970","0.485","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/d2qbi69pfv5gpszu70yf.jpg","false","false","null","2015-10-27T23:37:12-07:00","null","null","null","null","null","1509532","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Get behind WE Stand. WE Go.","[""social innovations""]","WE STAND. WE Go. Taste of India "
"null","Dance & Theater","/explore/dance-theater","/projects/extraordinary-aliens-the-play","2019-04-14T23:59:59-07:00","USD","430","0.043","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ft5nqbjpr3swhysmsah3.jpg","false","false","null","2019-02-13T00:00:00-08:00","null","null","null","null","null","2469205","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","An immigration comedy. Our stories. We love this project and want to submit it to festivals.","[""comedy"",""women""]","Extraordinary Aliens - The Play."
"null","Photography","/explore/photography","/projects/war-zone-freelance-exhibition-2016","2015-12-30T23:59:59-08:00","USD","1548","0.023815384615","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/byww0emajaylcr6gx6tj.jpg","false","false","null","2015-11-10T02:27:24-08:00","null","null","null","null","null","1497906","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Support and  experience the work of freelance journalists covering conflicts worldwide.","[""other""]","War Zone Freelance Exhibition 2016"
"Sign Up For Our Launch Event To Reserve Yours For Just $999","Transportation","/explore/transportation","/projects/m2s-bikes-all-terrain-r500-electric-fat-bike/coming_soon","null","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wbf38o5nuwn1zhcp3db8.jpg","false","true","null","null","null","null","null","null","null","2264287","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Our latest take on our best-selling All Terrain electric bike brings top quality at a lower cost.","[""bikes"",""e-bikes"",""adventure""]","All Terrain R500 - The $999 Electric Fat Bike"
"null","Education","/explore/education","/projects/a-socially-conscious-art-project","2016-11-20T23:59:59-08:00","USD","5539","0.27695","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/va1xpxsjeiu8enrlauhh.jpg","false","false","null","2016-10-11T18:07:21-07:00","null","null","null","null","null","1825759","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Development of an art work that will raise funds for a primary school in Togo, W Africa.","[""other""]","A socially conscious art project."
"null","Productivity","/explore/productivity","/projects/smart-cup-holder","2018-09-18T23:59:59-07:00","USD","128","0.004654545455","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dn1rtwsslnpvcpw5kega.jpg","false","false","null","2018-07-20T02:03:31-07:00","null","null","null","null","concept","2399632","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Keep your drink HOT (+55°C) / COLD (-5°C) ! Smart CupHolder is simple, yet powerful accessory.","[""cars"",""food"",""other""]","Smart Cup Holder"
"null","Education","/explore/education","/projects/place-women-in-technology-and-increase-diversity","2015-07-06T23:59:59-07:00","USD","268","0.00536","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/epklwt8fsdoffcrkza2w.jpg","false","false","null","2015-05-07T13:38:05-07:00","null","null","null","null","null","1258888","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Diversity is key to creativity, innovation and success. Help Kal Academy increase diversity in tech!","[""other""]","Place women in technology and increase diversity"
"null","Tabletop Games","/explore/tabletop-games","/projects/the-city-that-dripped-blood-a-fantasy-adventure","2018-08-22T23:59:59-07:00","USD","6820","7.795","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uqjylw2smxy72ht9usop.jpg","false","false","null","2018-08-07T16:37:51-07:00","null","null","null","null","null","2402312","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Your party is 'invited' to explore a ruined city ruled by vampiric lords and cannibalistic cults.","[""fantasy"",""adventure"",""horror""]","The City that Dripped Blood: A Fantasy Adventure"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/gracill-handmade-men-s-shoes-at-half-the-price","2016-05-16T23:59:59-07:00","USD","3835","0.3835","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/y0jl4reyaw1aiipfxxg9.jpg","false","false","null","2016-04-04T03:03:19-07:00","null","null","null","null","null","1681932","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Truly handcrafted men's dress shoes crafted with the finest of leathers - For half the price.","[""other""]","GRACILL: Handmade Men’s Shoes at Half The Price"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/ledesma-timepieces-stylish-timepieces-69","2017-01-06T23:59:59-08:00","USD","1837","0.262428571429","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tlhdvnlbqmsguholo5zq.jpg","false","false","null","2016-11-07T08:34:06-08:00","null","null","null","null","concept","1935473","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","FOUR different models to choose from, stainless steel and leather bands. Backed with a WARRANTY!","[""watches"",""watches""]","Ledesma Timepieces - Stylish Timepieces $69"
